games: 68, white: 32%, black: 33%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 
games: 40, white: 35%, black: 25%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Bd3 Nc6 7. Nge2
games: 51, white: 45%, black: 35%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 
games: 10, white: 30%, black: 50%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4 cxd4 5. Qxd4 Nc6 6. Bb5
games: 65, white: 46%, black: 23%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 
games: 10, white: 10%, black: 40%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 Bg4 
games: 11, white: 36%, black: 45%, forced: 0, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4 cxd4 
games: 11, white: 36%, black: 45%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4 cxd4 5. Qxd4
games: 11, white: 36%, black: 45%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4 cxd4 5. Qxd4 Nc6 
games: 11, white: 36%, black: 36%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 7. Be2
games: 63, white: 46%, black: 23%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5
games: 12, white: 50%, black: 33%, forced: 5, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 7. Bg5 Be6 8. b4
games: 12, white: 50%, black: 33%, forced: 6, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 7. Bg5 Be6 8. b4 Be7 
games: 13, white: 46%, black: 30%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 
games: 16, white: 50%, black: 31%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 
games: 16, white: 50%, black: 31%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 7. Bg5
games: 13, white: 53%, black: 30%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 7. Bg5 Be6 
games: 37, white: 51%, black: 16%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 
games: 41, white: 53%, black: 14%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3
games: 13, white: 46%, black: 23%, forced: 5, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 7. h3 O-O 8. Nf3
games: 11, white: 45%, black: 36%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 e6 
games: 19, white: 57%, black: 26%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3
games: 14, white: 50%, black: 21%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3
games: 10, white: 40%, black: 20%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 7. h3 O-O 
games: 11, white: 45%, black: 18%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 7. h3
games: 10, white: 60%, black: 20%, forced: 7, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5 Nc6 6. a3 e5 7. Bg5 Be6 8. b4 Be7 9. Nf3
games: 11, white: 54%, black: 9%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 7. dxc5
games: 11, white: 54%, black: 9%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 5. Nb5 Na6 6. c3 Be7 7. dxc5 Bxc5 
